lmax,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,slc_mean,slc_std,ssh_mean,ssh_std,variance_ratio,mean_errors,standardized_errors,w2_distances,kl_divergences
84,318400.0,0.7505,66.66666666666669,-16947.809533446703,0.0013395255352958014,11819.604640362997,0.0005387111591201453,0.16173721095641122,28767.414173809702,19924887.548018884,28767.414173809713,1425803619398406.5
84,318400.0,0.7505,200.0,-50843.42860033888,0.0013395255352956826,35458.81392108873,0.0005387111591199039,0.16173721095629492,86302.2425214276,59774662.644063905,86302.2425214276,1.2832232574596704e+16
84,318400.0,1.0,-200.0,50843.428600339226,0.001784844150960444,-35458.81392108931,0.000717803010153443,0.16173721095641658,-86302.24252142853,-44860884.314363725,86302.24252142853,7227758205693046.0
84,318400.0,1.0,-66.66666666666666,16947.80953344676,0.0017848441509603586,-11819.604640363084,0.0007178030101521414,0.1617372109558455,-28767.414173809848,-14953628.104792474,28767.414173809866,803084245079938.0
84,318400.0,1.0,66.66666666666669,-16947.809533446703,0.001784844150960444,11819.604640362997,0.000717803010153443,0.16173721095641658,28767.414173809702,14953628.104788007,28767.414173809724,803084245077017.4
84,318400.0,1.0,200.0,-50843.428600339226,0.001784844150960444,35458.81392108931,0.000717803010153443,0.16173721095641658,86302.24252142853,44860884.314363725,86302.24252142853,7227758205693046.0
84,636800.0,0.002,-200.0,50843.42860033934,3.5696883019204352e-06,-35458.81392108931,1.4356060203066624e-06,0.1617372109564072,-86302.24252142865,-22430442157.184826,86302.24252142865,1.8069395514238294e+21
84,636800.0,0.002,-66.66666666666666,16947.80953344676,3.5696883019208914e-06,-11819.604640363143,1.435606020306874e-06,0.16173721095641355,-28767.414173809906,-7476814052.394058,28767.414173809906,2.0077106126926017e+20
84,636800.0,0.002,66.66666666666669,-16947.809533446703,3.5696883019208914e-06,11819.604640362997,1.435606020306874e-06,0.16173721095641355,28767.414173809702,7476814052.394006,28767.414173809702,2.0077106126925732e+20
84,636800.0,0.002,200.0,-50843.428600339226,3.5696883019208914e-06,35458.81392108931,1.435606020306874e-06,0.16173721095641355,86302.24252142853,22430442157.18187,86302.24252142853,1.8069395514232917e+21
84,636800.0,0.2515,-200.0,50843.428600339226,0.0004488883039665635,-35458.81392108931,0.00018052745705358494,0.16173721095639731,-86302.24252142853,-178373297.47261596,86302.24252142853,1.1426879210926923e+17
84,636800.0,0.2515,-66.66666666666666,16947.80953344676,0.0004488883039665635,-11819.604640363143,0.00018052745705358494,0.16173721095639731,-28767.414173809906,-59457765.824206136,28767.41417380991,1.2696532456585824e+16
84,636800.0,0.2515,66.66666666666669,-16947.809533446703,0.0004488883039665635,11819.604640362997,0.00018052745705358494,0.16173721095639731,28767.414173809702,59457765.82420571,28767.414173809702,1.2696532456585644e+16
84,636800.0,0.2515,200.0,-50843.42860033934,0.00044888830396649134,35458.81392108931,0.00018052745705355325,0.16173721095639257,86302.24252142865,178373297.47264522,86302.24252142865,1.1426879210930965e+17
84,636800.0,0.501,-200.0,50843.428600339226,0.0008942069196312075,-35458.81392108931,0.0003596193080868739,0.1617372109564066,-86302.24252142853,-89542683.26220092,86302.24252142853,2.8795734701029424e+16
84,636800.0,0.501,-66.66666666666666,16947.80953344676,0.0008942069196312075,-11819.604640363143,0.0003596193080868739,0.1617372109564066,-28767.414173809906,-29847561.087400716,28767.41417380991,3199526077892248.0
84,636800.0,0.501,66.66666666666669,-16947.809533446703,0.0008942069196312075,11819.604640362997,0.0003596193080868739,0.1617372109564066,28767.414173809702,29847561.087400507,28767.414173809706,3199526077892202.5
