,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
293,62.5,0.6799999999999999,0.0,0.32,1.805108544536549
294,65.0,0.6799999999999999,0.0,0.32,2.2152533831955012
295,67.5,0.6799999999999999,0.0,0.32,2.6046999883837625
296,70.0,0.6799999999999999,0.0,0.32,2.8839778038904793
297,50.0,0.6699999999999999,0.0,0.33,0.35480133992838214
298,52.5,0.6699999999999999,0.0,0.33,0.5282796700526734
299,55.0,0.6699999999999999,0.0,0.33,0.7770614961802433
300,57.5,0.6699999999999999,0.0,0.33,1.0577484826044237
301,60.0,0.6699999999999999,0.0,0.33,1.3905113755314558
302,62.5,0.6699999999999999,0.0,0.33,1.7604753342792148
303,65.0,0.6699999999999999,0.0,0.33,2.170011066045108
304,67.5,0.6699999999999999,0.0,0.33,2.5593517606654133
305,70.0,0.6699999999999999,0.0,0.33,2.8380078230877794
306,50.0,0.6599999999999999,0.0,0.34,0.31746557366225975
307,52.5,0.6599999999999999,0.0,0.34,0.4897066032920912
308,55.0,0.6599999999999999,0.0,0.34,0.7373330969671801
309,57.5,0.6599999999999999,0.0,0.34,1.017071233588336
310,60.0,0.6599999999999999,0.0,0.34,1.3488022079135507
311,62.5,0.6599999999999999,0.0,0.34,1.7176469586752154
312,65.0,0.6599999999999999,0.0,0.34,2.126598214024265
313,67.5,0.6599999999999999,0.0,0.34,2.5158372807860854
314,70.0,0.6599999999999999,0.0,0.34,2.793896731974948
315,50.0,0.6499999999999999,0.0,0.35000000000000003,0.28160963513422216
316,52.5,0.6499999999999999,0.0,0.35000000000000003,0.4526624054913693
317,55.0,0.6499999999999999,0.0,0.35000000000000003,0.6991793590782088
318,57.5,0.6499999999999999,0.0,0.35000000000000003,0.9780062541843796
319,60.0,0.6499999999999999,0.0,0.35000000000000003,1.3087462106827545
320,62.5,0.6499999999999999,0.0,0.35000000000000003,1.6765161140054603
321,65.0,0.6499999999999999,0.0,0.35000000000000003,2.084906059046453
322,67.5,0.6499999999999999,0.0,0.35000000000000003,2.4740475260368644
323,70.0,0.6499999999999999,0.0,0.35000000000000003,2.7515340130722628
324,50.0,0.64,0.0,0.36,0.24714725312885064
325,52.5,0.64,0.0,0.36,0.41705794642276256
326,55.0,0.64,0.0,0.36,0.6625084826755775
327,57.5,0.64,0.0,0.36,0.9404595520615824
328,60.0,0.64,0.0,0.36,1.2702470070685101
329,62.5,0.64,0.0,0.36,1.6369838373618653
330,65.0,0.64,0.0,0.36,2.0448342876618764
331,67.5,0.64,0.0,0.36,2.4338819481380938
332,70.0,0.64,0.0,0.36,2.7108177395190998
333,50.0,0.63,0.0,0.37,0.21399873453639354
334,52.5,0.63,0.0,0.37,0.38281089196117696
335,55.0,0.63,0.0,0.37,0.627235667579777
336,57.5,0.63,0.0,0.37,0.9043443017225156
337,60.0,0.63,0.0,0.37,1.2332155689455084
338,62.5,0.63,0.0,0.37,1.5989587116719735
339,65.0,0.63,0.0,0.37,2.0062902352348555
340,67.5,0.63,0.0,0.37,2.3952476655298103
341,70.0,0.63,0.0,0.37,2.6716537562900102
342,50.0,0.62,0.0,0.38,0.18209034911187097
343,52.5,0.62,0.0,0.38,0.3498450684548716
344,55.0,0.62,0.0,0.38,0.5932824586016874
345,57.5,0.62,0.0,0.38,0.8695801742003689
346,60.0,0.62,0.0,0.38,1.1975695295256918
347,62.5,0.62,0.0,0.38,1.5623561599487699
