,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
174,40.0,0.81,0.0,0.19,0.516260767464015
175,50.0,0.81,0.0,0.19,1.1050296168031044
176,60.0,0.81,0.0,0.19,2.228619176208096
177,70.0,0.81,0.0,0.19,3.7243800925312636
178,80.0,0.81,0.0,0.19,4.628253706406726
179,90.0,0.81,0.0,0.19,4.972781379224724
180,10.0,0.8,0.0,0.2,0.3076222308303288
181,20.0,0.8,0.0,0.2,0.09028027798946876
182,30.0,0.8,0.0,0.2,0.1047258227266105
183,40.0,0.8,0.0,0.2,0.454486499132765
184,50.0,0.8,0.0,0.2,1.0317958540272916
185,60.0,0.8,0.0,0.2,2.1468070268300514
186,70.0,0.8,0.0,0.2,3.63785659226826
187,80.0,0.8,0.0,0.2,4.536683889512804
