true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
0.0,0.0004995441270888469,0.0,0.0009804003021599192,0.0,0.0011003313534495955,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,66
0.0,0.0004995441270888469,0.0,0.000995393365334851,0.0,0.0011137110427133234,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,60
0.0,0.0004995441270888421,0.0,0.00101181591260522,0.0,0.0011284129456498129,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,55
0.0,0.0004995441270888469,0.0,0.0010299643226935695,0.0,0.0011447143053751802,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,50
0.0,0.0004995441270888454,0.0,0.0026486250475376916,0.0,0.0026953216834643312,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,90
0.0,0.0004995441270888469,0.0,0.0026509654626518347,0.0,0.002697621585597545,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,85
0.0,0.0004995441270888469,0.0,0.002660063072923819,0.0,0.0027065623744598737,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,80
0.0,0.0004995441270888469,0.0,0.0026780558811648,0.0,0.0027242480866379133,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,75
0.0,0.0004995441270888469,0.0,0.0027042628409470852,0.0,0.0027500148813844913,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,70
0.0,0.0004995441270888469,0.0,0.0027233739434035444,0.0,0.0027688102084683103,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,66
0.0,0.0004995441270888469,0.0,0.002768940288561583,0.0,0.002813640818677548,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,60
0.0,0.0004995441270888469,0.0,0.0028231580035304187,0.0,0.002867013332338519,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,55
0.0,0.0004995441270888469,0.0,0.0028853016965971396,0.0,0.0029282264624334114,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.015811388300841896,31.622776601683793,50
0.0,0.0004995441270888469,0.0,0.008248878793194234,0.0,0.008263990905108652,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,90
0.0,0.0004995441270888469,0.0,0.008256261209554992,0.0,0.00827135983350449,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,85
