odt_length_scale /,odt_amplitude_95_range /,ice_length_scale /,ice_thickness_95_range /,net_ice_thickness_change /,gmsl_slc_expectation /,gmsl_slc_std /,gmsl_ssh_expectation /,gmsl_ssh_std /,gmsl_ssh_odt_expectation /,gmsl_ssh_odt_std /,lmax /
0.009995291163082719,10.0,0.4997645581541359,499.99999999999994,-200.0,9388.311904561926,14744.556823948018,-7393.664006574274,7377.501136602575,-7393.664006574274,60532.12014751555,128.0
0.4997645581541359,0.01,0.4997645581541359,499.99999999999994,-200.0,9388.311904561926,14751.986435113658,-7393.664006574274,7372.046949746663,-7393.664006574274,7372.291769817332,128.0
0.4997645581541359,0.1,0.4997645581541359,499.99999999999994,-200.0,9388.311904561926,14751.985699766812,-7393.664006574274,7372.047489911275,-7393.664006574274,7396.489383360168,128.0
0.4997645581541359,10.0,0.4997645581541359,499.99999999999994,-200.0,9388.311904561926,14744.556823947984,-7393.664006574274,7377.501136602602,-7393.664006574274,60532.12014762674,128.0
0.009995291163082719,0.01,0.4997645581541359,499.99999999999994,200.0,-9388.311904561926,14751.986435113227,7393.664006574274,7372.0469497463455,7393.664006574274,7372.291769816884,128.0
0.009995291163082719,0.1,0.4997645581541359,499.99999999999994,200.0,-9388.311904561926,14751.985699766235,7393.664006574274,7372.047489911163,7393.664006574274,7396.489383360038,128.0
0.009995291163082719,10.0,0.4997645581541359,499.99999999999994,200.0,-9388.311904561926,14744.55682394774,7393.664006574274,7377.501136602369,7393.664006574274,60532.120147515525,128.0
0.4997645581541359,0.01,0.4997645581541359,499.99999999999994,200.0,-9388.311904561926,14751.986435113227,7393.664006574274,7372.046949746364,7393.664006574274,7372.291769816892,128.0
0.4997645581541359,0.1,0.4997645581541359,499.99999999999994,200.0,-9388.311904561926,14751.985699766274,7393.664006574274,7372.047489911163,7393.664006574274,7396.489383360104,128.0
0.4997645581541359,10.0,0.4997645581541359,499.99999999999994,200.0,-9388.311904561926,14744.556823947685,7393.664006574274,7377.501136602406,7393.664006574274,60532.12014762671,128.0
