load_radius,satellite_range,latitude,error
0.2,81.58,-75.41,1.0208560924788654
0.2,82.78,-75.41,1.0837194858855805
0.2,83.99,-75.41,1.117578316271702
0.2,85.19,-75.41,1.1458298195892649
0.2,86.39,-75.41,1.1608682507599115
0.2,87.59,-75.41,1.174766221169636
0.2,88.8,-75.41,1.180770497312671
0.2,90.0,-75.41,1.1833193226962377
0.2,1.0,-72.97,5.098725910447727
0.2,2.2,-72.97,5.0963937409291855
0.2,3.41,-72.97,5.084474722875137
0.2,4.61,-72.97,5.075864948046261
0.2,5.81,-72.97,5.070876312598646
0.2,7.01,-72.97,5.060632445808544
0.2,8.22,-72.97,5.060413126061971
0.2,9.42,-72.97,5.056819586394057
0.2,10.62,-72.97,5.048056406531059
0.2,11.82,-72.97,5.032529580528433
0.2,13.03,-72.97,5.010773022104286
0.2,14.23,-72.97,4.997092623526494
0.2,15.43,-72.97,4.979620852234566
0.2,16.64,-72.97,4.963984432340648
0.2,17.84,-72.97,4.950759445618328
0.2,19.04,-72.97,4.934228693757117
0.2,20.24,-72.97,4.921494985550141
0.2,21.45,-72.97,4.906164471768158
0.2,22.65,-72.97,4.898320993924386
0.2,23.85,-72.97,4.894173545503225
0.2,25.05,-72.97,4.890708297012444
0.2,26.26,-72.97,4.888038649699463
0.2,27.46,-72.97,4.890009398196264
0.2,28.66,-72.97,4.890416839126563
0.2,29.86,-72.97,4.891772258693395
0.2,31.07,-72.97,4.893872184826472
0.2,32.27,-72.97,4.884158517177667
0.2,33.47,-72.97,4.873514643926907
0.2,34.68,-72.97,4.858561514213875
0.2,35.88,-72.97,4.8476181450798155
0.2,37.08,-72.97,4.830331646737851
0.2,38.28,-72.97,4.8061172956463025
0.2,39.49,-72.97,4.783720386521151
0.2,40.69,-72.97,4.756180765815829
0.2,41.89,-72.97,4.731589282934373
0.2,43.09,-72.97,4.687727812785247
0.2,44.3,-72.97,4.654429446267569
0.2,45.5,-72.97,4.6188065350961445
0.2,46.7,-72.97,4.567123166137393
0.2,47.91,-72.97,4.521759679743687
0.2,49.11,-72.97,4.454294151200287
0.2,50.31,-72.97,4.393129255098649
0.2,51.51,-72.97,4.3023453819042485
0.2,52.72,-72.97,4.226112738299717
0.2,53.92,-72.97,4.13768811090848
0.2,55.12,-72.97,4.000354135962142
0.2,56.32,-72.97,3.8807373963867575
0.2,57.53,-72.97,3.703709785401047
0.2,58.73,-72.97,3.558437415062502
0.2,59.93,-72.97,3.352707208148014
0.2,61.14,-72.97,3.1917925228353097
0.2,62.34,-72.97,2.959241166225444
0.2,63.54,-72.97,2.7695083157063713
0.2,64.74,-72.97,2.567656356907766
0.2,65.95,-72.97,2.2765223418824023
0.2,67.15,-72.97,2.0572973938844448
0.2,68.35,-72.97,1.7653705656162375
0.2,69.55,-72.97,1.536210912424603
0.2,70.76,-72.97,1.2037902885480753
0.2,71.96,-72.97,0.9395733210442033
0.2,73.16,-72.97,0.5571494103360425
0.2,74.36,-72.97,0.2254979226285377
0.2,75.57,-72.97,0.0739431082510087
0.2,76.77,-72.97,0.07145339760151377
0.2,77.97,-72.97,0.15862821661937918
0.2,79.18,-72.97,0.25321284346402445
0.2,80.38,-72.97,0.3148151897657048
0.2,81.58,-72.97,0.3689393071694753
0.2,82.78,-72.97,0.42103939538829716
0.2,83.99,-72.97,0.45053370987482977
0.2,85.19,-72.97,0.47695723515616695
0.2,86.39,-72.97,0.49142080793991405
0.2,87.59,-72.97,0.504739543938718
0.2,88.8,-72.97,0.5105501254259623
0.2,90.0,-72.97,0.5129356316348359
0.2,1.0,-70.54,6.311313566364161
0.2,2.2,-70.54,6.314289363592768
0.2,3.41,-70.54,6.307832645690022
0.2,4.61,-70.54,6.29807032642669
0.2,5.81,-70.54,6.292638768884919
0.2,7.01,-70.54,6.281378954110117
0.2,8.22,-70.54,6.278577655479266
0.2,9.42,-70.54,6.273765945251561
0.2,10.62,-70.54,6.263813697496564
0.2,11.82,-70.54,6.248722640169159
0.2,13.03,-70.54,6.225481937901665
0.2,14.23,-70.54,6.211053998168616
0.2,15.43,-70.54,6.191868050648905
0.2,16.64,-70.54,6.17398430770619
0.2,17.84,-70.54,6.158888416335988
0.2,19.04,-70.54,6.140245533952684
0.2,20.24,-70.54,6.126508188986155
0.2,21.45,-70.54,6.108670010258361
0.2,22.65,-70.54,6.099301830347333
0.2,23.85,-70.54,6.092230135394885
0.2,25.05,-70.54,6.085822978983383
0.2,26.26,-70.54,6.079993397007102
0.2,27.46,-70.54,6.078180551892166
0.2,28.66,-70.54,6.075997745815526
0.2,29.86,-70.54,6.072926247679433
0.2,31.07,-70.54,6.072069345845694
0.2,32.27,-70.54,6.057225947196088
0.2,33.47,-70.54,6.041914178275879
0.2,34.68,-70.54,6.020674072072581
0.2,35.88,-70.54,6.003675104794477
0.2,37.08,-70.54,5.981210913445712
0.2,38.28,-70.54,5.949112730752847
0.2,39.49,-70.54,5.92117723718223
0.2,40.69,-70.54,5.884453182104576
0.2,41.89,-70.54,5.852290918560771
0.2,43.09,-70.54,5.798196856003241
0.2,44.3,-70.54,5.755722708957519
0.2,45.5,-70.54,5.711578541764473
0.2,46.7,-70.54,5.6473403922394105
0.2,47.91,-70.54,5.592971493670255
0.2,49.11,-70.54,5.511155105739892
0.2,50.31,-70.54,5.438416208014592
0.2,51.51,-70.54,5.331178603621377
0.2,52.72,-70.54,5.24039226991199
0.2,53.92,-70.54,5.137829014280227
0.2,55.12,-70.54,4.980049993038486
0.2,56.32,-70.54,4.845074568027449
0.2,57.53,-70.54,4.643660479105528
0.2,58.73,-70.54,4.478454824709889
0.2,59.93,-70.54,4.242938225081973
0.2,61.14,-70.54,4.05484872716167
0.2,62.34,-70.54,3.7837665916468377
0.2,63.54,-70.54,3.5601304558310427
0.2,64.74,-70.54,3.322571338538306
0.2,65.95,-70.54,2.9700087376850037
0.2,67.15,-70.54,2.700112816133224
0.2,68.35,-70.54,2.3274727092433025
0.2,69.55,-70.54,2.00932765570781
0.2,70.76,-70.54,1.4313672480462625
0.2,71.96,-70.54,1.1388080857621403
0.2,73.16,-70.54,0.9219094454774716
0.2,74.36,-70.54,0.7235027030979007
0.2,75.57,-70.54,0.6147531314287986
0.2,76.77,-70.54,0.503605782683133
0.2,77.97,-70.54,0.4345855828392657
0.2,79.18,-70.54,0.35794106656616925
0.2,80.38,-70.54,0.30794977084014935
0.2,81.58,-70.54,0.2630050508702329
0.2,82.78,-70.54,0.21855200924028137
0.2,83.99,-70.54,0.19221484910957987
