odt_length_scale,odt_amplitude_95_range,ice_length_scale,ice_thickness_95_range,net_ice_thickness_change,gmsl_slc_expectation,gmsl_slc_std,gmsl_ssh_expectation,gmsl_ssh_std,gmsl_ssh_odt_expectation,gmsl_ssh_odt_std,lmax
0.49976455815413595,10.0,0.0999529116308272,500,200.0,-9388.31190456124,0.0023143237833827958,7393.664006573352,0.001157981656976061,7393.664006573352,0.009501196067748607,128.0
0.009995291163082719,0.01,0.49976455815413595,100,-200.0,9388.31190456124,0.0004630979832631348,-7393.664006573352,0.00023142511633011438,-7393.664006573352,0.0002316171761195526,128.0
0.009995291163082719,0.1,0.49976455815413595,100,-200.0,9388.31190456124,0.00046309740615788585,-7393.664006573352,0.00023142554025436048,-7393.664006573352,0.000249901903157972,128.0
0.009995291163082719,10.0,0.49976455815413595,100,-200.0,9388.311904561357,0.0004572314887526727,-7393.664006573206,0.00023566828004929698,-7393.664006573206,0.009433310380656437,128.0
0.49976455815413595,0.01,0.49976455815413595,100,-200.0,9388.31190456124,0.0004630979832631343,-7393.664006573352,0.00023142511633011302,-7393.664006573352,0.0002316171761195526,128.0
0.49976455815413595,0.1,0.49976455815413595,100,-200.0,9388.31190456124,0.00046309740615788585,-7393.664006573352,0.00023142554025435956,-7393.664006573352,0.00024990190315803975,128.0
0.49976455815413595,10.0,0.49976455815413595,100,-200.0,9388.31190456124,0.0004572314887524865,-7393.664006573352,0.00023566828004934864,-7393.664006573352,0.009433310380673915,128.0
0.009995291163082719,0.01,0.49976455815413595,100,200.0,-9388.31190456124,0.0004630979832631412,7393.664006573352,0.00023142511633011896,7393.664006573352,0.0002316171761195622,128.0
0.009995291163082719,0.1,0.49976455815413595,100,200.0,-9388.31190456124,0.0004630974061579037,7393.664006573352,0.00023142554025436368,7393.664006573352,0.0002499019031579779,128.0
0.009995291163082719,10.0,0.49976455815413595,100,200.0,-9388.31190456124,0.0004572314887525277,7393.664006573352,0.0002356682800493347,7393.664006573352,0.009433310380656437,128.0
0.49976455815413595,0.01,0.49976455815413595,100,200.0,-9388.31190456124,0.0004630979832631421,7393.664006573352,0.0002314251163301208,7393.664006573352,0.00023161717611956312,128.0
0.49976455815413595,0.1,0.49976455815413595,100,200.0,-9388.31190456124,0.0004630974061579037,7393.664006573352,0.00023142554025436506,7393.664006573352,0.0002499019031580487,128.0
0.49976455815413595,10.0,0.49976455815413595,100,200.0,-9388.31190456124,0.0004572314887525018,7393.664006573352,0.00023566828004935628,7393.664006573352,0.00943331038067391,128.0
0.009995291163082719,0.01,0.49976455815413595,500,-200.0,9388.31190456124,0.0023154899442966058,-7393.664006573352,0.0011571255610966337,-7393.664006573352,0.001157163988356194,128.0
