length_scale,satellite_range,error,true_mean,estimate,num_error
0.005,90.0,131.52864109565573,-1.3592128628178833e-13,4.285413452438381e-14,1.7877542080617214e-13
0.005,80.11,131.36815914458674,-2.215095027143373e-13,-5.125024587604906e-13,-2.9099295604615334e-13
0.1,40.56,131.2106202958016,3.5179547738613923e-13,-1.0979755066479049e-13,-4.615930280509298e-13
0.005,60.33,131.01319551195988,-2.215095027143373e-13,-5.117161805830421e-13,-2.902066778687048e-13
0.1,20.78,130.47166064032513,3.3082639479657063e-13,7.624610859241745e-13,4.3163469112760384e-13
0.005,30.67,130.02371269915486,-3.0529192615151504e-13,-7.02243823104477e-13,-3.9695189695296195e-13
0.1,80.11,129.98883964796346,3.5179547738613923e-13,-1.0549938160211679e-13,-4.57294858988256e-13
0.005,60.33,128.75490174028593,7.430336896372538e-14,1.699725986626921e-13,9.566922969896671e-14
0.1,60.33,128.63371402433634,-2.3258021369803867e-13,6.659635326748672e-14,2.991765669655254e-13
0.1,10.89,127.24432834214184,-2.2629548392711063e-13,6.165268466454085e-14,2.8794816859165146e-13
0.005,10.89,127.1101663245444,-3.0529192615151504e-13,-6.93349001258111e-13,-3.88057075106596e-13
0.005,20.78,125.74871760708582,-3.0529192615151504e-13,-6.891926082450167e-13,-3.8390068209350163e-13
0.005,30.67,125.4659308123585,-2.261161248250455e-13,-5.098148255536232e-13,-2.8369870072857774e-13
0.1,40.56,124.92056983608816,-2.3245658379908953e-13,5.792950530423691e-14,2.9038608910332644e-13
0.1,10.89,124.48397832220213,3.3082639479657063e-13,7.426522523792564e-13,4.118258575826858e-13
0.005,60.33,124.24370760050049,-6.774587530284787e-13,1.6424111919822105e-13,8.416998722266998e-13
0.1,1.0,123.56227940115144,-2.2629548392711063e-13,5.332037419509357e-14,2.7961585812220417e-13
0.005,60.33,123.22000279632091,6.354360173541516e-13,1.4184202957067673e-12,7.829842783526157e-13
0.1,30.67,122.16006522433986,3.5179547738613923e-13,-7.795810724504623e-14,-4.297535846311855e-13
